Date,Equipe_Domicile,Score_Reel,Equipe_Exterieur,Detail,Cote,Bonus_Tag,Prono_MPP,Points_Gagnes
dimanche 21 juin,Espagne,4 - 0,Arabie saoudite,,31,,2 - 1,31
dimanche 21 juin,Belgique,0 - 0,Iran,,39,,4 - 2,0
dimanche 21 juin,Uruguay,2 - 2,Cap-Vert,,72,,2 - 1,0
samedi 20 juin,Brésil,3 - 0,Haïti,,21,,3 - 1,21
samedi 20 juin,Turquie,0 - 1,Paraguay,,113,,2 - 2,0
samedi 20 juin,Pays-Bas,5 - 1,Suède,,67,,2 - 1,67
samedi 20 juin,Allemagne,2 - 1,Côte d’Ivoire,,137,,1 - 1,0
vendredi 19 juin,Écosse,0 - 1,Maroc,,112,,1 - 1,0
mercredi 17 juin,Argentine,3 - 0,Algérie,,43,,2 - 1,43
mercredi 17 juin,Autriche,3 - 1,Jordanie,,136,,1 - 1,0
mardi 16 juin,Iran,2 - 2,Nouvelle-Zélande,,116,,1 - 1,116
mardi 16 juin,France,3 - 1,Sénégal,,46,Rare +30pts,,76
mardi 16 juin,Irak,1 - 4,Norvège,,144,,1 - 1,0
lundi 15 juin,Suède,5 - 1,Tunisie,,72,,2 - 1,72
lundi 15 juin,Espagne,0 - 0,Cap-Vert,,16,,2 - 0,0
lundi 15 juin,Belgique,1 - 1,Égypte,,122,Exact +20pts,,142
lundi 15 juin,Arabie saoudite,1 - 1,Uruguay,,50,,1 - 2,0
dimanche 14 juin,Haïti,0 - 1,Écosse,,44,Très rare +50pts,,94
dimanche 14 juin,Pays-Bas,2 - 2,Japon,,115,,1 - 1,115
dimanche 14 juin,Côte d’Ivoire,1 - 0,Équateur,,101,,1 - 1,0
samedi 13 juin,États-Unis,4 - 1,Paraguay,,74,,2 - 0,74
samedi 13 juin,Qatar,1 - 1,Suisse,,33,,2 - 3,0
samedi 13 juin,Brésil,1 - 1,Maroc,,55,,3 - 1,0
vendredi 12 juin,Corée du Sud,2 - 1,Tchéquie,,107,,2 - 2,0
vendredi 12 juin,Canada,1 - 1,Bosnie,,65,,3 - 1,0
